,Money_Leaders_-_Fall_Series_RANK THIS WEEK,Money_Leaders_-_Fall_Series_RANK LAST WEEK,Money_Leaders_-_Fall_Series_PLAYER NAME,Money_Leaders_-_Fall_Series_EVENTS,Money_Leaders_-_Fall_Series_MONEY
132,133,133,Jarrod Lyle,21,"$12,480"
133,T134,T134,Paul Goydos,25,"$12,060"
134,T134,T134,Charlie Wi,28,"$12,060"
135,136,136,Joe Durant,20,"$11,820"
136,137,137,Steve Flesch,27,"$11,000"
137,T138,T138,James Oh,21,"$10,798"
138,T138,T138,Rod Perry,1,"$10,798"
139,T138,T138,Darron Stiles,20,"$10,798"
140,T138,T138,Charles Warren,20,"$10,798"
141,T142,T142,Mathew Goggin,26,"$10,788"
142,T142,T142,Ernie Gonzalez,1,"$10,788"
143,144,144,Fred Couples,16,"$10,300"
144,145,145,Kris Blanks,20,"$10,199"
145,T146,T146,Rick Price,21,"$9,823"
146,T146,T146,Marc Turnesa,30,"$9,823"
147,148,148,Jerry Kelly,26,"$9,618"
148,149,149,Brad Faxon,23,"$9,500"
149,150,150,Ryuji Imada,25,"$9,282"
150,151,151,Tommy Armour III,19,"$8,442"
151,152,152,Brian Bateman,25,"$8,232"
