,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
45,46,46,Martin Piller,1,"$22,570","$22,570"
46,T47,T47,Jean-Francois Lucquin,1,"$22,501","$22,501"
47,T47,T47,Andrew McLardy,2,"$22,501","$22,501"
48,49,49,Hideto Tanihara,1,"$21,600","$21,600"
49,50,50,Paul Lawrie,1,"$21,571","$21,571"
50,T51,T51,Jeff Brehaut,1,"$20,630","$20,630"
51,T51,T51,Trevor Murphy,1,"$20,630","$20,630"
52,53,53,Vance Veazey,1,"$19,600","$19,600"
53,T54,T54,David Howell,1,"$18,295","$18,295"
54,T54,T54,Graeme Storm,1,"$18,295","$18,295"
55,T56,T56,Paul Broadhurst,1,"$17,013","$17,013"
56,T56,T56,David Drysdale,1,"$17,013","$17,013"
57,58,58,Fredrik Andersson Hed,1,"$16,199","$16,199"
58,59,59,Hiroyuki Fujita,1,"$15,525","$15,525"
59,60,60,Bobby Gates,1,"$15,177","$15,177"
60,61,61,Daniel Gaunt,1,"$15,140","$15,140"
61,62,62,Richard Green,2,"$15,000","$15,000"
62,63,63,Steve Wheatcroft,1,"$14,907","$14,907"
63,64,64,Alan Wagner,1,"$14,700","$14,700"
64,65,65,José de Jesús Rodríguez,1,"$14,400","$14,400"
65,66,66,David Smail,3,"$14,050","$14,050"
66,67,67,Graham DeLaet,1,"$13,872","$13,872"
67,68,68,Gregory Bisconti,1,"$13,600","$13,600"
68,69,69,Grant Sturgeon,1,"$13,300","$13,300"
69,70,70,Alastair Forsyth,1,"$13,100","$13,100"
70,71,71,Louis Oosthuizen,6,"$12,660","$137,802"
71,72,72,Luke List,1,"$12,600","$12,600"
72,73,73,Matt Harmon,1,"$11,893","$11,893"
73,74,74,Matthew Loving,1,"$11,712","$11,712"
74,T75,T75,John Ellis,1,"$11,651","$11,651"
75,T75,T75,Chris Kirk,2,"$11,651","$11,651"
76,77,77,Fernando Mechereffe,1,"$11,271","$11,271"
77,78,78,Mike Grob,1,"$11,118","$11,118"
78,79,79,Andres Gonzales,1,"$10,965","$10,965"
79,80,80,Rod Perry,1,"$10,798","$10,798"
80,81,81,Rich Barcelo,1,"$10,500","$10,500"
81,82,82,Lucas Lee,1,"$10,251","$10,251"
82,83,83,Junpei Takayama,1,"$9,936","$9,936"
83,84,84,Cortland Lowe,2,"$9,434","$9,434"
84,T85,T85,Felipe Aguilar,1,"$9,364","$9,364"
85,T85,T85,Tano Goya,1,"$9,364","$9,364"
86,T85,T85,Manuel Villegas,1,"$9,364","$9,364"
87,88,88,Andrew Ruthkoski,2,"$8,428","$8,428"
88,89,89,Andy Matthews,1,"$7,700","$7,700"
89,90,90,Ryan Helminen,1,"$7,360","$7,360"
90,T91,T91,Esteban Toledo,2,"$7,344","$7,344"
91,T91,T91,James Vargas,1,"$7,344","$7,344"
