,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
81,82,82,Chris Williams,4,"$13,176","$13,176"
82,T83,T83,Joel Dahmen,1,"$13,034","$13,034"
83,T83,T83,Adam Hadwin,1,"$13,034","$13,034"
84,85,85,Seuk-hyun Baek,2,"$12,950","$54,700"
85,86,86,Carlos Ortiz,1,"$12,834","$12,834"
86,87,87,Kyle Reifers,2,"$12,300","$12,300"
87,88,88,Bubba Dickerson,2,"$12,224","$12,224"
88,89,89,Thomas Aiken,3,"$11,286","$11,286"
89,90,90,Ryan Sullivan,1,"$11,223","$11,223"
90,91,91,Derek Tolan,1,"$11,144","$11,144"
91,92,92,Michael Block,2,"$10,736","$10,736"
92,93,93,Toshinori Muto,1,"$10,696","$10,696"
93,94,94,Eric Dugas,1,"$10,304","$10,304"
94,95,95,Mark Hubbard,1,"$10,100","$10,100"
95,96,96,Kevin Lucas,1,"$7,810","$7,810"
