,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
76,77,,Kent Bulle,1,"$22,850","$22,850"
77,78,,Dylan Frittelli,2,"$20,800","$20,800"
78,79,,Wyndham Clark,5,"$16,934","$16,934"
79,80,,Justin Lower,1,"$16,425","$16,425"
80,81,,Matthew Griffin,3,"$16,356","$60,106"
81,82,,Josh Teater,2,"$16,253","$16,253"
82,T83,,Abraham Ancer,1,"$15,820","$15,820"
83,T83,,Carlos Ortiz,1,"$15,820","$15,820"
84,85,,Gaganjeet Bhullar,1,"$15,750","$15,750"
85,86,,Alex Moon,1,"$15,375","$15,375"
86,87,,Marcus Fraser,3,"$15,120","$107,245"
87,88,,Daniel Obremski,1,"$14,981","$14,981"
88,T89,,Gavin Kyle Green,3,"$14,070","$14,070"
89,T89,,Chan Shih-chang,2,"$14,070","$60,570"
90,91,,SSP Chawrasia,1,"$13,860","$13,860"
91,92,,Soomin Lee,2,"$13,020","$56,645"
92,93,,Danny Chia,1,"$12,880","$12,880"
93,94,,Kenny Pigman,2,"$12,586","$12,586"
94,T95,,Chip Deason,2,"$12,352","$12,352"
95,T95,,Bobby Gates,5,"$12,352","$12,352"
96,97,,Jared Sawada,1,"$12,000","$12,000"
97,98,,Chris Evans,1,"$11,890","$11,890"
98,T99,,Matt Gilchrest,1,"$11,326","$11,326"
99,T99,,Grant Leaver,1,"$11,326","$11,326"
100,T101,,Anders Albertson,1,"$11,280","$11,280"
101,T101,,Hyung-Sung Kim,1,"$11,280","$11,280"
102,103,,Dru Love,5,"$10,788","$10,788"
103,104,,Matt Atkins,1,"$8,190","$8,190"
104,105,,Cody Blick,1,"$7,128","$7,128"
105,106,,Cyril Bouniol,1,"$5,790","$5,790"
106,107,,Fabrizio Zanotti,6,"$5,370","$187,870"
