,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
115,116,116,Ronnie Black,135843
116,117,117,Jim McGovern,135747
117,118,118,Steve Jones,132228
118,119,119,Chad Campbell,129600
119,120,120,Robin Freeman,124272
120,121,121,Danny Ellis,121243
121,122,122,Tommy Armour III,119046
122,123,123,Michael Clark II,118495
123,124,124,Cliff Kresge,110325
124,125,125,Jeff Hart,109693
125,126,126,Jimmy Green,106971
126,127,127,Tom Scherrer,106045
127,128,128,Tom Kite,105626
128,129,129,Gary Nicklaus,104946
129,130,130,Dicky Pride,103011
130,131,131,Kevin Johnson,102621
131,132,132,Ben Bates,98595
132,133,133,Willie Wood,98057
133,134,134,Craig Stadler,98036
134,135,135,Robert Gamez,96763
135,136,136,Chris Tidland,95869
136,137,137,Jason Gore,90226
137,138,138,Bill Glasson,90221
138,139,139,Andrew Magee,87554
139,140,140,Jeff Brehaut,87523
140,141,141,Marco Dawson,86369
141,142,142,Brian Wilson,84720
142,143,143,Brian Henninger,80407
143,144,144,Donnie Hammond,76349
144,145,145,Curtis Strange,74316
145,146,146,Brad Fabel,70470
146,147,147,Craig Kanada,66082
147,148,148,Brian Claar,64760
148,149,149,Barry Cheesman,54817
149,150,150,Hunter Haas,54555
150,151,151,Notah Begay III,50269
151,152,152,D.A. Weibring,49922
152,153,153,Jeremy Anderson,49732
153,154,154,"Dave Stockton, Jr.",45066
154,155,155,Kent Jones,43654
155,156,156,Mike Springer,40571
156,157,157,Doug Barron,38918
157,158,158,Doug Dunakey,38897
158,159,159,Bart Bryant,36942
159,160,160,Keith Clearwater,33089
160,161,161,Peter Jacobsen,32149
161,162,162,Kelly Grunewald,29622
162,163,163,Jeff Julian,27566
163,164,164,Sean Murphy,25872
164,165,165,Mike Heinen,25419
165,166,166,Phil Blackmar,24650
166,167,167,Michael Bradley,23943
167,168,168,Mike Reid,23804
168,169,169,"Jim Gallagher, Jr.",23712
169,170,170,Heath Slocum,22835
170,171,171,Fuzzy Zoeller,19265
171,172,172,Rocky Walcher,16471
172,173,173,Scott Gump,15951
173,174,174,Mike Hulbert,14000
174,175,175,Nolan Henke,12710
175,176,176,Mark Carnevale,12508
176,177,177,Tom Purtzer,10952
177,178,178,Jeff Gallagher,10492
178,179,179,Kevin Wentworth,10410
179,180,180,Gary Hallberg,7648
180,181,181,Guy Boros,7544
181,182,182,Sam Randolph,7494
182,183,183,John Restino,6904
183,184,184,Hale Irwin,6582
184,T185,T185,Brad Bryant,6380
185,T185,T185,Ed Fiori,6380
186,187,187,Andy Bean,6245
187,188,188,Dick Mast,5086
188,189,189,Tom Watson,4975
189,190,190,Larry Rinker,4635
190,191,191,Bruce Lietzke,4420
191,192,192,Gene Sauers,4200
192,193,193,Ben Crenshaw,3885
193,194,194,David Sutherland,3876
194,195,195,Mark McCumber,3638
195,196,196,Gary Koch,3413
196,197,197,David Ogrin,3015
197,198,198,Mike Standly,2883
198,199,199,Rick Fehr,2700
199,T200,T200,Jay Delsing,2443
200,T200,T200,Bobby Wadkins,2443
201,202,202,Bob Lohr,2150
202,203,203,Morris Hatalsky,2000
203,T204,T204,Wayne Levi,1940
204,T204,T204,John Morse,1940
205,T206,T206,Greg Twiggs,1770
206,T206,T206,Stan Utley,1770
207,208,208,Ernie Gonzalez,1720
