,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
65,66,66,Scott Brown,30,46.3,189,408,2.28
66,67,67,Hideki Matsuyama,25,46.4,154,332,1.1
67,68,68,Fabián Gómez,26,46.5,172,370,2.44
68,69,69,Jim Herman,27,46.6,160,343,1.88
69,T70,T70,Jonathan Byrd,22,47.3,115,243,1.3
70,T70,T70,Nick Watney,28,47.3,201,425,2.14
71,72,72,Rickie Fowler,21,47.4,144,304,1.32
72,T73,T73,Derek Fathauer,27,47.5,206,434,1.36
73,T73,T73,Jeff Overton,30,47.5,200,421,1.45
74,T73,T73,Justin Rose,20,47.5,116,244,1.98
75,T76,T76,Ryo Ishikawa,28,47.7,204,428,0.93
76,T76,T76,Steve Wheatcroft,28,47.7,173,363,2.49
77,T78,T78,Derek Ernst,26,47.8,143,299,1.12
78,T78,T78,Adam Hadwin,30,47.8,176,368,1.42
79,T78,T78,Morgan Hoffmann,26,47.8,200,418,1.35
80,81,81,Keegan Bradley,24,47.9,139,290,1.29
81,T82,T82,John Merrick,27,48.0,122,254,2.13
82,T82,T82,Ryan Palmer,22,48.0,160,333,0.31
83,84,84,Daniel Summerhays,29,48.2,226,469,0.58
84,85,85,Kevin Streelman,27,48.3,140,290,1.14
85,86,86,Jim Furyk,19,48.5,111,229,0.63
86,T87,T87,Dustin Johnson,21,48.6,161,331,1.99
87,T87,T87,Charl Schwartzel,19,48.6,105,216,2.1
88,T89,T89,Brian Harman,29,48.7,181,372,1.99
89,T89,T89,Brooks Koepka,23,48.7,182,374,1.04
90,T91,T91,Ryan Moore,24,48.8,121,248,1.9
91,T91,T91,Jhonattan Vegas,27,48.8,203,416,0.94
92,T91,T91,Jimmy Walker,24,48.8,196,402,1.17
93,T94,T94,Retief Goosen,25,48.9,177,362,1.47
94,T94,T94,Jim Renner,27,48.9,152,311,2.37
95,T94,T94,Chris Stroud,28,48.9,160,327,1.75
96,T94,T94,Hudson Swafford,30,48.9,196,401,1.22
97,T98,T98,Padraig Harrington,21,49.0,152,310,1.78
98,T98,T98,Jerry Kelly,24,49.0,128,261,0.94
99,T100,T100,Roberto Castro,16,49.1,79,161,2.28
100,T100,T100,Brendon Todd,27,49.1,156,318,1.92
101,T102,T102,Jason Dufner,21,49.2,117,238,1.62
102,T102,T102,Ben Martin,27,49.2,180,366,2.67
103,T104,T104,Ángel Cabrera,19,49.4,122,247,1.48
104,T104,T104,Louis Oosthuizen,20,49.4,124,251,0.81
105,106,106,Kevin Chappell,26,49.5,185,374,1.84
106,T107,T107,Graham DeLaet,22,49.6,127,256,1.81
107,T107,T107,Bill Haas,25,49.6,179,361,0.84
108,T107,T107,Bo Van Pelt,28,49.6,173,349,3.01
109,T110,T110,Jordan Spieth,25,49.7,158,318,1.01
110,T110,T110,Brian Stuard,31,49.7,166,334,2.05
111,T112,T112,Scott Stallings,19,49.8,130,261,2.92
112,T112,T112,Shawn Stefani,26,49.8,217,436,1.29
113,114,114,Jason Kokrak,28,50.1,237,473,0.84
114,115,115,Adam Scott,15,50.3,96,191,2.08
115,T116,T116,Martin Flores,30,50.4,236,468,0.55
116,T116,T116,Justin Thomas,30,50.4,257,510,1.25
117,T118,T118,Chris Kirk,21,50.5,148,293,2.16
118,T118,T118,Boo Weekley,24,50.5,168,333,1.61
119,120,120,Patrick Reed,27,50.7,238,469,1.39
120,T121,T121,Brian Davis,31,50.8,161,317,2.42
121,T121,T121,Jason Gore,26,50.8,133,262,1.8
122,T121,T121,Tyrone Van Aswegen,20,50.8,131,258,2.37
123,T124,T124,J.B. Holmes,25,50.9,189,371,1.38
124,T124,T124,Andrew Putnam,23,50.9,165,324,2.48
125,T124,T124,Webb Simpson,22,50.9,146,287,2.12
126,T127,T127,Robert Garrigus,25,51.3,164,320,2.2
127,T127,T127,Nick Taylor,28,51.3,250,487,1.92
128,129,129,Andres Gonzales,28,51.5,220,427,1.77
129,T130,T130,Ernie Els,18,51.6,128,248,2.42
130,T130,T130,Bubba Watson,19,51.6,162,314,0.49
131,132,132,Hunter Mahan,24,51.9,194,374,1.08
132,T133,T133,Brendon de Jonge,31,52.1,225,432,1.02
133,T133,T133,Kevin Na,27,52.1,196,376,0.61
134,135,135,Johnson Wagner,23,52.2,153,293,2.16
135,136,136,Matt Every,26,52.3,190,363,1.16
136,T137,T137,Chad Campbell,30,52.8,225,426,1.51
137,T137,T137,Lucas Glover,26,52.8,187,354,2.25
138,T139,T139,Kevin Kisner,30,52.9,225,425,1.64
139,T139,T139,Sung Joon Park,27,52.9,153,289,1.96
140,T139,T139,Vijay Singh,23,52.9,199,376,0.45
141,T142,T142,Stewart Cink,23,53.0,196,370,1.58
142,T142,T142,Sean O'Hair,26,53.0,219,413,1.78
143,144,144,Luke Guthrie,27,53.3,201,377,1.69
144,T145,T145,William McGirt,30,53.4,226,423,0.88
145,T145,T145,Cameron Percy,23,53.4,163,305,2.33
146,147,147,Jonathan Randolph,25,53.7,188,350,1.22
147,148,148,John Senden,24,53.8,127,236,2.52
148,149,149,Spencer Levin,31,54.0,183,339,2.13
149,150,150,Rory Sabbatini,25,54.1,193,357,0.83
150,151,151,Luke Donald,20,54.2,163,301,1.23
151,T152,T152,Jason Day,20,54.3,184,339,0.71
152,T152,T152,Phil Mickelson,19,54.3,183,337,1.37
153,T154,T154,Jon Curran,28,54.5,158,290,2.59
154,T154,T154,Geoff Ogilvy,15,54.5,108,198,1.67
155,T156,T156,Zach Johnson,25,54.6,154,282,1.62
156,T156,T156,D.A. Points,26,54.6,194,355,1.6
157,T156,T156,Tim Wilkinson,28,54.6,160,293,2.31
158,T159,T159,Chesson Hadley,30,54.7,285,521,1.79
159,T159,T159,David Lingmerth,28,54.7,191,349,1.52
160,T159,T159,Seung-Yul Noh,21,54.7,180,329,2.17
161,162,162,Andrew Svoboda,30,54.8,216,394,2.82
162,163,163,Carlos Ortiz,30,55.0,247,449,1.46
163,164,164,Erik Compton,28,55.2,212,384,1.93
164,165,165,Alex Cejka,30,55.4,222,401,1.85
165,166,166,Paul Casey,24,55.6,180,324,1.0
166,167,167,Carl Pettersson,32,55.7,293,526,1.33
167,168,168,Danny Lee,36,55.8,273,489,1.72
168,169,169,Michael Thompson,27,56.0,234,418,2.44
169,170,170,Ben Crane,22,56.2,131,233,0.84
170,T171,T171,Billy Horschel,28,57.1,208,364,1.15
171,T171,T171,Billy Hurley III,28,57.1,178,312,2.02
172,T171,T171,Brandt Snedeker,27,57.1,230,403,1.65
173,174,174,Davis Love III,18,57.3,114,199,2.54
174,175,175,J.J. Henry,30,57.5,237,412,1.73
175,176,176,Henrik Stenson,16,57.8,111,192,0.18
176,177,177,Justin Leonard,22,58.1,126,217,2.22
177,178,178,Steven Bowditch,32,58.3,321,551,1.31
178,T179,T179,Eric Axley,21,59.2,148,250,1.01
179,T179,T179,Matt Kuchar,25,59.2,232,392,1.29
180,181,181,Andres Romero,24,59.3,204,344,2.3
181,182,182,Blayne Barber,26,59.5,185,311,2.22
182,183,183,Russell Henley,24,60.6,198,327,2.53
183,184,184,Robert Allenby,25,61.3,155,253,2.97
