,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
69,70,70,Martin Laird,66,20.16,225,1116,58
70,71,71,David Toms,64,20.07,224,1116,13
71,72,72,Charlie Beljan,76,20.06,260,1296,82
72,73,73,Tommy Gainey,73,20.05,249,1242,117
73,74,74,Jason Day,54,20.02,173,864,118
74,T75,T75,Matt Jones,83,20.01,299,1494,137
75,T75,T75,Brendon Todd,108,20.01,389,1944,119
76,T77,T77,Ben Martin,80,20.0,288,1440,62
77,T77,T77,Nick Watney,80,20.0,270,1350,32
78,79,79,Russell Henley,92,19.99,331,1656,156
79,80,80,Jamie Lovemark,64,19.91,215,1080,94
80,81,81,Seung-Yul Noh,92,19.87,329,1656,38
81,T82,T82,Carl Pettersson,91,19.84,325,1638,46
82,T82,T82,Daniel Summerhays,98,19.84,350,1764,42
83,84,84,Aaron Baddeley,74,19.83,257,1296,174
84,85,85,Ricky Barnes,92,19.82,314,1584,92
85,86,86,Brandt Snedeker,89,19.8,310,1566,136
86,87,87,Brad Fritsch,50,19.79,171,864,87
87,88,88,Steven Bowditch,93,19.77,331,1674,133
88,89,89,William McGirt,96,19.73,341,1728,105
89,90,90,Freddie Jacobson,91,19.66,322,1638,151
90,91,91,John Senden,99,19.64,350,1782,25
91,92,92,Bo Van Pelt,83,19.54,292,1494,16
92,93,93,Scott Langley,95,19.53,327,1674,114
93,94,94,Tyrone Van Aswegen,79,19.52,274,1404,113
94,T95,T95,Hunter Mahan,88,19.48,298,1530,46
95,T95,T95,Jhonattan Vegas,77,19.48,263,1350,7
96,T97,T97,Bud Cauley,56,19.44,196,1008,30
97,T97,T97,Jim Furyk,84,19.44,280,1440,12
98,99,99,Justin Hicks,103,19.42,346,1782,2
99,T100,T100,Jason Bohn,81,19.41,283,1458,97
100,T100,T100,Andrew Svoboda,77,19.41,269,1386,18
101,T102,T102,Russell Knox,92,19.38,321,1656,22
102,T102,T102,Pat Perez,84,19.38,293,1512,107
103,104,104,David Hearn,97,19.36,338,1746,55
104,105,105,Troy Merritt,62,19.35,216,1116,87
105,106,106,Stewart Cink,91,19.29,316,1638,57
106,107,107,Jonas Blixt,64,19.27,215,1116,162
107,108,108,Luke Donald,57,19.25,194,1008,144
108,109,109,Brian Davis,93,19.24,322,1674,160
109,110,110,Louis Oosthuizen,50,19.2,159,828,54
110,T111,T111,Jonathan Byrd,76,19.14,248,1296,95
111,T111,T111,Greg Chalmers,85,19.14,279,1458,173
112,113,113,Erik Compton,88,19.13,303,1584,142
113,114,114,Cameron Tringale,111,19.12,382,1998,45
114,115,115,David Lingmerth,80,19.08,261,1368,135
115,116,116,K.J. Choi,80,19.03,274,1440,154
116,117,117,Martin Flores,85,19.02,291,1530,52
117,T118,T118,James Driscoll,71,19.01,243,1278,164
118,T118,T118,Michael Putnam,106,19.01,349,1836,36
119,T118,T118,Hudson Swafford,75,19.01,243,1278,11
120,121,121,Shawn Stefani,60,18.98,205,1080,60
121,122,122,Gonzalo Fernandez-Castaño,83,18.9,279,1476,166
122,123,123,Geoff Ogilvy,84,18.89,272,1440,100
123,124,124,Brice Garnett,92,18.88,299,1584,83
124,125,125,Davis Love III,74,18.83,244,1296,100
125,126,126,Tim Clark,75,18.81,254,1350,110
126,127,127,Ken Duke,80,18.8,264,1404,34
127,128,128,Ernie Els,85,18.78,267,1422,159
128,129,129,Willy Wilcox,51,18.71,165,882,42
129,130,130,Brendon de Jonge,109,18.65,366,1962,103
130,T131,T131,John Merrick,87,18.61,278,1494,19
131,T131,T131,Kyle Stanley,87,18.61,278,1494,44
132,133,133,Bryce Molder,77,18.49,243,1314,121
133,134,134,Retief Goosen,94,18.46,299,1620,124
134,T135,T135,Ben Crane,81,18.38,268,1458,130
135,T135,T135,Richard Lee,80,18.38,258,1404,171
136,137,137,Lucas Glover,68,18.35,218,1188,37
137,138,138,Ben Curtis,77,18.34,241,1314,150
138,139,139,Robert Allenby,83,18.31,267,1458,27
139,140,140,Troy Matteson,62,18.3,191,1044,155
140,141,141,Vijay Singh,83,18.27,273,1494,73
141,142,142,Jim Herman,62,18.2,190,1044,55
142,T143,T143,Spencer Levin,59,18.17,193,1062,109
143,T143,T143,Jim Renner,61,18.17,193,1062,148
144,145,145,Scott Stallings,77,18.13,248,1368,140
145,146,146,Heath Slocum,71,18.12,225,1242,33
146,147,147,Charlie Wi,72,18.1,228,1260,165
147,148,148,Woody Austin,63,18.08,192,1062,167
148,T149,T149,James Hahn,82,18.06,260,1440,120
149,T149,T149,Josh Teater,90,18.06,286,1584,86
150,151,151,Chad Campbell,57,18.03,172,954,1
151,T152,T152,Sean O'Hair,77,17.89,248,1386,132
152,T152,T152,Tim Wilkinson,86,17.89,264,1476,157
153,T154,T154,Chad Collins,78,17.87,238,1332,170
154,T154,T154,John Huh,87,17.87,267,1494,106
155,156,156,Justin Leonard,75,17.85,241,1350,176
156,157,157,Billy Hurley III,86,17.83,276,1548,63
157,158,158,Briny Baird,50,17.78,160,900,130
158,159,159,Y.E. Yang,79,17.52,246,1404,158
159,160,160,John Peterson,62,17.5,189,1080,71
160,161,161,Trevor Immelman,84,17.36,250,1440,77
161,162,162,Nicholas Thompson,85,17.35,253,1458,46
162,163,163,Derek Ernst,80,17.32,237,1368,128
163,164,164,Bronson La'Cassie,51,17.26,146,846,161
164,165,165,Brian Gay,81,17.23,245,1422,175
165,166,166,Kevin Tway,64,17.13,185,1080,107
166,167,167,"Ted Potter, Jr.",68,17.08,209,1224,85
167,168,168,Roberto Castro,76,17.04,227,1332,169
168,169,169,J.J. Henry,91,16.99,266,1566,5
169,170,170,Boo Weekley,73,16.98,220,1296,20
170,171,171,D.A. Points,75,16.89,222,1314,148
171,T172,T172,Jeff Maggert,54,16.67,162,972,67
172,T172,T172,Johnson Wagner,69,16.67,195,1170,115
173,T172,T172,Mike Weir,69,16.67,195,1170,177
174,175,175,John Rollins,84,16.46,237,1440,96
175,176,176,Mark Wilson,69,15.64,183,1170,137
176,177,177,D.H. Lee,54,15.22,137,900,172
