,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
143,T143,T143,Nick Taylor,30,231,126,105
144,T145,T145,Nicholas Lindheim,26,232,120,112
145,T145,T145,Cameron Smith,24,232,81,151
146,147,147,Anirban Lahiri,24,233,114,119
147,T148,T148,Martin Flores,29,234,58,176
148,T148,T148,John Huh,29,234,170,64
149,T148,T148,Danny Lee,30,234,148,86
150,T148,T148,Rod Pampling,20,234,168,66
151,T152,T152,Jonas Blixt,23,236,122,114
152,T152,T152,Peter Uihlein,26,236,48,188
153,154,154,Johnson Wagner,21,237,176,61
154,155,155,Charl Schwartzel,20,238,67,171
155,156,156,Brett Stegmaier,21,239,100,139
156,157,157,Ollie Schniederjans,27,241,50,191
157,158,158,Patton Kizzire,29,242,77,165
158,159,159,Bill Haas,25,243,94,149
159,160,160,Matt Kuchar,24,244,169,75
160,161,161,Chris Stroud,27,245,154,91
161,162,162,Phil Mickelson,24,246,57,189
162,T163,T163,Roberto Díaz,25,252,175,77
163,T163,T163,Jonathan Randolph,25,252,159,93
164,T165,T165,Dominic Bozzelli,20,253,89,164
165,T165,T165,Si Woo Kim,31,253,146,107
166,T167,T167,Patrick Reed,26,256,83,173
167,T167,T167,Jimmy Walker,23,256,71,185
168,169,169,Kyle Thompson,22,260,181,79
169,170,170,Retief Goosen,20,264,94,170
170,171,171,Martin Piller,28,269,132,137
171,172,172,Jonathan Byrd,24,272,137,135
172,173,173,Zac Blair,20,277,192,85
173,174,174,Sung Kang,29,278,122,156
174,175,175,Matt Every,30,279,113,166
175,176,176,Whee Kim,30,283,179,104
176,177,177,William McGirt,26,284,161,123
177,178,178,Aaron Baddeley,27,291,105,186
178,T179,T179,Peter Malnati,28,298,144,154
179,T179,T179,D.A. Points,25,298,189,109
180,181,181,Tyrone Van Aswegen,31,303,151,152
181,182,182,Robert Streb,29,311,128,183
182,T183,T183,Zecheng Dou,23,312,133,179
183,T183,T183,Billy Hurley III,27,312,184,128
184,185,185,Greg Chalmers,20,320,187,133
185,186,186,Michael Kim,27,330,153,177
186,187,187,Andrew Yun,22,332,148,184
187,188,188,Ricky Barnes,22,341,148,193
188,189,189,Rob Oppenheim,26,343,182,161
189,190,190,Derek Fathauer,28,350,164,186
190,191,191,Daniel Summerhays,19,351,170,181
191,192,192,Cameron Tringale,26,353,161,192
192,193,193,Wesley Bryan,23,359,191,168
